Country/Region,Continent,Population,TotalCases,TotalDeaths,TotalRecovered,ActiveCases,TotalTests,WHO Region
Kuwait,Asia,4276658,70045,469,61610,7966,522200,EasternMediterranean
Kyrgyzstan,Asia,6534479,38659,1447,30099,7113,267718,Europe
Laos,Asia,7285750,20,0,19,1,29374,WesternPacific
Latvia,Europe,1883936,1275,32,1070,173,207909,Europe
Lebanon,Asia,6822220,5672,70,1974,3628,345268,EasternMediterranean
Lesotho,Africa,2143943,742,23,175,544,8771,Africa
Liberia,Africa,5068618,1224,78,705,441,0,Africa
Libya,Africa,6880353,4879,107,652,4120,59699,EasternMediterranean
Liechtenstein,Europe,38139,89,1,85,3,900,Europe
Lithuania,Europe,2718121,2171,81,1656,434,540784,Europe
Luxembourg,Europe,626952,7073,119,5750,1204,623994,Europe
Macao,Asia,650193,46,0,46,0,4071,America
Madagascar,Africa,27755708,12526,134,10148,2244,46301,Africa
Malawi,Africa,19174839,4491,137,2137,2217,33466,Africa
Malaysia,Asia,32406372,9038,125,8713,200,991333,WesternPacific
Maldives,Asia,541448,4680,19,2725,1936,85587,South-EastAsia
Mali,Africa,20302901,2552,124,1954,474,25152,Africa
Malta,Europe,441663,946,9,670,267,136713,Europe
Martinique,North America,375235,276,15,98,163,12227,America
Mauritania,Africa,4660728,6444,157,5291,996,57387,Africa
Mauritius,Africa,1271985,344,10,334,0,205285,Africa
Mayotte,Africa,273419,3042,39,2738,265,13000,Europe
Mexico,North America,129066160,462690,50517,308848,103325,1056915,America
Moldova,Europe,4032983,26628,828,18676,7124,128076,Europe
Monaco,Europe,39270,125,4,105,16,38209,Europe
Mongolia,Asia,3283344,293,0,260,33,38334,WesternPacific
Montenegro,Europe,628074,3480,60,2178,1242,38427,Europe
Montserrat,North America,4992,13,1,10,2,61,Europe
Morocco,Africa,36953359,29644,449,20553,8642,1383816,EasternMediterranean
Mozambique,Africa,31333962,2120,15,795,1310,65151,Africa
Myanmar,Asia,54446389,357,6,308,43,122290,South-EastAsia
Namibia,Africa,2545264,2652,15,563,2074,29233,Africa
Nepal,Asia,29186486,21750,65,15389,6296,731977,South-EastAsia
Netherlands,Europe,17138756,56982,6153,0,0,1079860,Europe
New Caledonia,Australia/Oceania,285769,22,0,22,0,11099,Europe
New Zealand,Australia/Oceania,5002100,1569,22,1524,23,486943,WesternPacific
Nicaragua,North America,6632263,3902,123,2913,866,0,America
Niger,Africa,24281433,1153,69,1057,27,9052,Africa
Nigeria,Africa,206606300,45244,930,32430,11884,306894,Africa
North Macedonia,Europe,2083365,11399,517,7480,3402,109946,Europe
Norway,Europe,5425471,9468,256,8857,355,472841,Europe
Oman,Asia,5118446,80713,492,70910,9311,309212,EasternMediterranean
Pakistan,Asia,221295851,281863,6035,256058,19770,2058872,EasternMediterranean
Palestine,Asia,5112340,13398,92,6907,6399,200280,EasternMediterranean
Panama,North America,4321282,71418,1574,45658,24186,240995,America
Papua New Guinea,Australia/Oceania,8963009,163,3,53,107,10808,WesternPacific
Paraguay,South America,7141091,6375,66,4974,1335,135277,America
Peru,South America,33016319,455409,20424,310337,124648,2493429,America
Philippines,Asia,109722719,119460,2150,66837,50473,1669996,WesternPacific
Poland,Europe,37842302,49515,1774,35642,12099,2374686,Europe
Portugal,Europe,10193593,52061,1743,37840,12478,1705474,Europe
Qatar,Asia,2807805,112092,178,108831,3083,511000,EasternMediterranean
Réunion,Africa,895952,671,5,592,74,35419,Europe
Romania,Europe,19224023,57895,2566,28992,26337,1319369,Europe
Russia,Europe,145940924,871894,14606,676357,180931,29716907,Europe
Rwanda,Africa,12981546,2111,5,1258,848,286251,Africa
S. Korea,Asia,51273732,14519,303,13543,673,1613652,WesternPacific
Saint Kitts and Nevis,North America,53237,17,0,16,1,1146,America
Saint Lucia,North America,183712,25,0,24,1,3895,America
Saint Martin,North America,38729,53,3,41,9,1183,Europe
San Marino,Europe,33938,699,42,657,0,6068,Europe
Sao Tome and Principe,Africa,219544,878,15,797,66,3079,Africa
Saudi Arabia,Asia,34865919,284226,3055,247089,34082,3635705,EasternMediterranean
Senegal,Africa,16783877,10715,223,7101,3391,114761,Africa
Serbia,Europe,8733665,27332,621,14047,12664,723137,Europe
Seychelles,Africa,98408,126,0,124,2,0,Africa
Sierra Leone,Africa,7992169,1877,67,1427,383,0,Africa
Singapore,Asia,5854932,54555,27,48031,6497,1474372,WesternPacific
Sint Maarten,North America,42924,160,16,64,80,1115,Europe
Slovakia,Europe,5459915,2480,29,1824,627,272322,Europe
Slovenia,Europe,2078968,2223,125,1909,189,135702,Europe
Somalia,Africa,15933012,3227,93,1728,1406,0,EasternMediterranean
South Africa,Africa,59381566,538184,9604,387316,141264,3149807,Africa
South Sudan,Africa,11206572,2450,47,1175,1228,12044,Africa
Spain,Europe,46756648,354530,28500,0,0,7064329,Europe
Sri Lanka,Asia,21422362,2839,11,2541,287,166737,South-EastAsia
St. Vincent Grenadines,North America,110976,56,0,46,10,2447,Europe
Sudan,Africa,43943536,11780,763,6194,4823,401,EasternMediterranean
Suriname,South America,587154,2096,29,1446,621,2785,America
Sweden,Europe,10105596,81967,5766,0,0,863315,Europe
Switzerland,Europe,8660952,36108,1985,31600,2523,822764,Europe
Syria,Asia,17539600,999,48,311,640,0,EasternMediterranean
Taiwan,Asia,23821199,477,7,443,27,82737,WesternPacific
Tajikistan,Asia,9557468,7665,62,6443,1160,0,Europe
Tanzania,Africa,59886383,509,21,183,305,0,Africa
Thailand,Asia,69817894,3330,58,3148,124,749213,South-EastAsia
Timor-Leste,Asia,1320812,25,0,24,1,4238,South-EastAsia
Togo,Africa,8296582,1012,22,697,293,45767,Africa
Trinidad and Tobago,North America,1399950,210,8,135,67,9559,America
Tunisia,Africa,11830801,1642,51,1241,350,100298,EasternMediterranean
Turkey,Asia,84428331,237265,5798,220546,10921,5081802,Europe
Turks and Caicos,North America,38768,129,2,39,88,1252,Europe
UAE,Asia,9902079,61845,354,55739,5752,5262658,EasternMediterranean
Uganda,Africa,45867852,1223,5,1102,116,288367,Africa
UK,Europe,67922029,308134,46413,0,0,17515234,Europe
Ukraine,Europe,43705858,76808,1819,42524,32465,1116641,Europe
Uruguay,South America,3474956,1318,37,1079,202,126956,America
USA,North America,331198130,5032179,162804,2576668,2292707,63139605,America
Uzbekistan,Asia,33516027,28315,175,19291,8849,1377915,Europe
Vatican City,Europe,801,12,0,12,0,0,Europe
Venezuela,South America,28427499,22299,195,12146,9958,1567431,America
Vietnam,Asia,97425470,747,10,392,345,482456,WesternPacific
Western Sahara,Africa,598682,10,1,8,1,0,Africa
Yemen,Asia,29886897,1768,508,898,362,120,EasternMediterranean
Zambia,Africa,18430129,7164,199,5786,1179,90307,Africa
Zimbabwe,Africa,14883803,4339,84,1264,2991,140421,Africa
